"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 07","57.01","58.19","58.19","56.02","5.60K","-0.83%"
"2023- 03- 06","57.49","53.90","58.46","53.52","27.41K","8.06%"
"2023- 03- 03","53.20","54.26","55.53","53.00","3.71K","-0.95%"
"2023- 03- 02","53.71","55.00","55.58","52.55","11.32K","-0.67%"
"2023- 03- 01","54.07","52.29","55.12","52.29","8.73K","3.96%"
"2023- 02- 28","52.01","53.00","53.22","48.60","13.39K","0.02%"
"2023- 02- 27","52.00","43.00","55.15","43.00","60.17K","25.60%"
"2023- 02- 24","41.40","40.01","42.63","40.01","8.48K","-0.07%"
"2023- 02- 23","41.43","39.16","42.90","39.00","17.26K","5.55%"
"2023- 02- 22","39.25","39.81","41.00","38.77","13.57K","-2.53%"
"2023- 02- 21","40.27","40.99","41.80","38.80","8.99K","-0.84%"
"2023- 02- 17","40.61","39.29","41.85","39.29","9.88K","0.17%"
"2023- 02- 16","40.54","38.06","41.85","38.06","19.50K","-1.67%"
"2023- 02- 15","41.23","39.27","41.93","39.27","17.83K","5.04%"
"2023- 02- 14","39.25","40.20","40.60","38.42","18.09K","-1.75%"
"2023- 02- 13","39.95","37.96","40.94","37.96","11.78K","2.96%"
"2023- 02- 10","38.80","36.15","39.33","35.87","15.48K","6.65%"
"2023- 02- 09","36.38","36.00","36.41","35.30","11.32K","2.48%"
"2023- 02- 08","35.50","37.80","38.09","35.20","16.26K","-6.58%"
"2023- 02- 07","38.00","33.00","38.08","32.15","23.60K","12.00%"
"2023- 02- 06","33.93","37.63","38.13","30.00","54.78K","-9.23%"
"2023- 02- 03","37.38","37.95","38.66","37.09","11.78K","0.48%"
"2023- 02- 02","37.20","38.58","38.59","34.05","17.33K","-3.58%"
"2023- 02- 01","38.58","39.20","39.20","35.10","11.69K","1.31%"
"2023- 01- 31","38.08","35.50","38.35","35.50","10.86K","9.14%"
"2023- 01- 30","34.89","35.29","36.45","34.50","6.06K","-1.16%"
"2023- 01- 27","35.30","32.33","35.99","32.33","14.17K","8.62%"
"2023- 01- 26","32.50","31.01","32.57","31.01","1.57K","2.85%"
"2023- 01- 25","31.60","31.00","32.33","30.78","16.55K","1.94%"
"2023- 01- 24","31.00","31.00","33.18","29.12","23.51K","3.33%"
"2023- 01- 23","30.00","29.35","30.00","29.35","2.56K","2.56%"
"2023- 01- 20","29.25","29.89","30.60","29.20","10.33K","-2.43%"
"2023- 01- 19","29.98","28.58","30.90","28.58","8.63K","0.37%"
"2023- 01- 18","29.87","28.71","32.01","28.71","10.87K","0.07%"
"2023- 01- 17","29.85","27.71","30.50","27.71","10.28K","6.61%"
"2023- 01- 13","28.00","26.20","28.00","25.37","11.82K","9.12%"
"2023- 01- 12","25.66","24.90","26.01","24.50","6.88K","4.31%"
"2023- 01- 11","24.60","25.15","25.18","24.28","10.07K","-1.60%"
"2023- 01- 10","25.00","25.76","25.76","24.42","5.01K","-2.31%"
"2023- 01- 09","25.59","24.75","25.62","24.75","4.25K","0.20%"
"2023- 01- 06","25.54","23.50","27.50","23.50","18.19K","10.09%"
"2023- 01- 05","23.20","20.99","23.40","20.99","7.01K","13.45%"
"2023- 01- 04","20.45","20.03","20.45","20.00","9.57K","2.25%"
"2023- 01- 03","20.00","20.00","20.00","20.00","0.27K","-1.23%"
